,Title,Released Year,Rotten Tomatoes Score,Cast,Director,Synopsis,Critics consensus
0,Running Scared,1986,59%,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer",Peter Hyams,"Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio... ","Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining."
1,Equilibrium,2002,40%,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen",Kurt Wimmer,"In a futuristic world, a regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and... ",Equilibrium is a reheated mishmash of other sci-fi movies.
2,Hero,2002,94%,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Donnie Yen",Yimou Zhang,"In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for... ","With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for."
3,Road House,1989,41%,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",Rowdy Herrington,"The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has... ",Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.
4,Unstoppable,2010,87%,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn",Tony Scott,"When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train... ","As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years."
5,Shaft,1971,88%,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi",Gordon Parks,"John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),... ","This is the man that would risk his neck for his brother, man. Can you dig it?"
6,The Villainess,2017,85%,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung",Jeong Byeong-gil,"Honed from childhood to be an elite assassin, Sook-hee embarks on a rampage of violence and revenge to finally earn... ",The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.
7,Highlander,1986,71%,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown",Russell Mulcahy,When the mystical Russell Nash (Christopher Lambert) kills a man in a sword fight in a New York City parking... ,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons."
8,Die Hard 2,1990,70%,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson",Renny Harlin,"A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this... ","It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies."
9,National Treasure,2004,46%,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",Jon Turteltaub,Historian and code-breaker Ben Gates (Nicolas Cage) has been searching his whole life for a rumored treasure dating back to... ,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot."
10,The Protector,2005,53%,"Tony Jaa, Johnny Nguyen, Nathan Jones, Phetthai Vongkumlao",Prachya Pinkaew,A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of... ,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing."
11,Revenge,2017,93%,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Coralie Fargeat,Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced... ,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin."
12,El Mariachi,1992,91%,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt",Robert Rodriguez,El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking... ,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable."
13,A Touch of Zen,1971,97%,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao",King Hu,"Ku Shen Chai (Chun Shih), an unmotivated artist in his early 30s, still lives with his mother, but he is... ","A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre."
14,Top Gun,1986,58%,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer",Tony Scott,The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying... ,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air."
15,Con Air,1997,58%,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi",Simon West,"Just-paroled army ranger Cameron Poe (Nicolas Cage) is headed back to his wife (Monica Potter), but must fly home aboard... ","Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive."
16,The Expendables 2,2012,67%,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",Simon West,"Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr.... ","Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse."
17,The Mummy,1999,60%,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Stephen Sommers,"The Mummy is a rousing, suspenseful and horrifying epic about an expedition of treasure-seeking explorers in the Sahara Desert in... ","It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch."
18,Mr. & Mrs. Smith,2005,59%,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",Doug Liman,"John (Brad Pitt) and Jane Smith (Angelina Jolie), a couple in a stagnating marriage, live a deceptively mundane existence. However,... ","Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick."
19,Rush Hour,1998,62%,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña",Brett Ratner,"When a Chinese diplomat's daughter is kidnapped in Los Angeles, he calls in Hong Kong Detective Inspector Lee (Jackie Chan)... ","While it won't win any awards for originality, the combustible chemistry between its stars means Rush Hour hits just as hard on either side of the action-comedy divide."
20,The Equalizer,2014,60%,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",Antoine Fuqua,"Robert McCall (Denzel Washington), a man of mysterious origin who believes he has put the past behind him, dedicates himself... ","The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers."
21,Captain America: Civil War,2016,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Anthony Russo,Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The... ,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.
22,Air Force One,1997,79%,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson",Wolfgang Petersen,"After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall (Harrison Ford) boards Air Force... ","This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills."
23,Bloodsport,1988,46%,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton",Newt Arnold,"U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly... ","This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling."
24,Blade,1998,57%,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright",Stephen Norrington,"A half-mortal, half-immortal is out to avenge his mother's death and rid the world of vampires. The modern-day technologically advanced... ","Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation."
25,Bad Boys,1995,43%,"Martin Lawrence, Will Smith, Téa Leoni, Tchéky Karyo",Michael Bay,Miami-Dade detectives Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) blow a fuse when $100 million worth of heroin... ,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story."
26,Die Hard With a Vengeance,1995,58%,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",John McTiernan,"Detective John McClane (Bruce Willis) is now divorced, alcoholic and jobless after getting fired for his reckless behavior and bad... ","Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas."
27,The Running Man,1987,66%,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto",Paul Michael Glaser,"In the year 2019, America is a totalitarian state where the favorite television program is ""The Running Man"" -- a... ",The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.
28,Code of Silence,1985,70%,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",Andrew Davis,"In Chicago, honor-driven Sgt. Eddie Cusack (Chuck Norris) and his team stake out a drug exchange involving notorious drug czar... ",No consensus yet.
29,Shoot 'Em Up,2007,67%,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon",Michael Davis,"After saving a newborn infant from assassins, carrot-crunching gunman Mr. Smith (Clive Owen) teams up with a prostitute named DQ... ","As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film."
30,Crank,2006,62%,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez",Mark Neveldine,"Chev Chelios (Jason Statham), a hit man wanting to go straight, lets his latest target slip away, then he awakes... ","Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality."
31,Machete,2010,71%,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal",Robert Rodriguez,"After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete... ","Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films."
32,Drive,2011,93%,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",Nicolas Winding Refn,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,... ","With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action."
33,Batman,1989,75%,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl",Tim Burton,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City... ","An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character."
34,Under Siege,1992,79%,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak",Andrew Davis,"A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the... ","A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography."
35,Independence Day,1996,68%,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",Roland Emmerich,"In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the... ","The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers."
36,Bullitt,1968,98%,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Peter Yates,Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of... ,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.
37,Wanted,2008,71%,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp",Timur Bekmambetov,"Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he... ","Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot."
38,Superman: The Movie,1978,94%,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder",Richard Donner,"Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship... ","Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon."
39,Ronin,1998,70%,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård",John Frankenheimer,"Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of... ","Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances."
40,They Live,1988,86%,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower",John Carpenter,"Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world... ","A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter."
41,Cliffhanger,1993,68%,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Renny Harlin,Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100... ,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star."
42,Marvel's the Avengers,2012,91%,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Joss Whedon,"When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract,... ","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies."
43,Hot Fuzz,2007,91%,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine",Edgar Wright,"As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the... ",The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.
44,The Warriors,1979,88%,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",Walter Hill,A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are... ,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking."
45,Starship Troopers,1997,70%,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey",Paul Verhoeven,"In the distant future, the Earth is at war with a race of giant alien insects. Little is known about... ",A fun movie...if you can accept the excessive gore and wooden acting.
46,Elite Squad 2,2010,91%,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held",José Padilha,"Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura).... ","Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force."
47,Point Break,1991,70%,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",Kathryn Bigelow,"After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a... ","Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive."
48,The Long Kiss Goodnight,1996,68%,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",Renny Harlin,Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories... ,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim."
49,The Guest,2014,92%,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley",Adam Wingard,A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on... ,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard."
50,Taken,2008,59%,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",Pierre Morel,"Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his... ","Taken is undeniably fun with slick action, but is largely a brainless exercise."
51,300,2006,61%,"Gerard Butler, Lena Headey, David Wenham, Dominic West",Zack Snyder,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the... ","A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes."
52,True Lies,1994,70%,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton",James Cameron,"Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down... ","If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain."
53,Demolition Man,1993,62%,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",Marco Brambilla,"With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)... ","A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock."
54,Hardcore Henry,2015,51%,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Darya Charusha",Ilya Naishuller,A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a... ,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill."
55,Police Story,1985,93%,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung",Jackie Chan,A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom... ,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats."
56,Brotherhood of the Wolf,2001,73%,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel",Christophe Gans,"In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women... ","Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining."
57,Kingsman: The Secret Service,2014,75%,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson",Matthew Vaughn,"Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing... ","Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon."
58,The Fifth Element,1997,71%,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich",Luc Besson,"In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in... ","Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously."
59,Big Trouble in Little China,1986,74%,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong",John Carpenter,"Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's... ","Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them."
60,Atomic Blonde,2017,79%,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman",David Leitch,"Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of... ",Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.
61,Rumble in the Bronx,1995,80%,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip",Stanley Tong,"Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a... ",An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.
62,District B13,2004,80%,"Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri",Pierre Morel,"In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a... ","A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws."
63,Beverly Hills Cop,1984,83%,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher",Martin Brest,"After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly... ","The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny."
64,Ong-Bak: The Thai Warrior,2003,85%,"Tony Jaa, Pumwaree Yodkamol, Phetthai Vongkumlao, Suchao Pongwilai",Prachya Pinkaew,"In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily... ","While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li."
65,Collateral,2004,86%,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",Michael Mann,A cab driver realizes his current fare is a hit man that has been having him drive around from mark... ,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller."
66,Iron Monkey,1993,91%,"Yu Rong-Guang, Donnie Yen, Sze-Man Tsang, Jean Wang",Woo-Ping Yuen,"In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge... ","Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy."
67,Escape From New York,1981,87%,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef",John Carpenter,"In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of... ","Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness."
68,Battle Royale,2000,88%,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô",Kinji Fukasaku,"42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive... ","Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes."
69,Spider-Man 2,2004,93%,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",Sam Raimi,"When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is... ","Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original."
